original_gaussian_noise_error_cache [0.21482410990827314, 0.23671113578250574, 0.2742603988713051, 0.31773136198085405, 0.36219954971820234, 0.40304305902796533, 0.4416442773217522, 0.47702982901705865, 0.5078757588689116, 0.5364578770098716]

original_gaussian_noise_acc_cache [0.21952117863720075, 0.21197053406998156, 0.1927255985267035, 0.17863720073664827, 0.16132596685082873, 0.15, 0.13977900552486186, 0.12854511970534072, 0.12421731123388582, 0.11197053406998159]

original_gaussian_noise_nmi_cache [0.3018420035676175, 0.2873826226209947, 0.2710599582642221, 0.2501868761377099, 0.2234163662650516, 0.20957060913697179, 0.18153190269760403, 0.16062467543841327, 0.14496496200925035, 0.12997063877571194]

L1_gaussian_noise_error_cache [0.2294974920141442, 0.23236311337284904, 0.2368541074684237, 0.24430621909434377, 0.2545812877938417, 0.26868815246281547, 0.28693500153717405, 0.30855929188125575, 0.3324842467717503, 0.3596853607953215]

L1_gaussian_noise_acc_cache [0.19465930018416205, 0.19106813996316757, 0.18950276243093922, 0.17209944751381215, 0.1755985267034991, 0.16003683241252303, 0.1443830570902394, 0.12421731123388582, 0.10957642725598526, 0.10046040515653776]

L1_gaussian_noise_nmi_cache [0.2624889724827772, 0.2557136053105257, 0.24830110082785706, 0.23206055975390302, 0.22898259859029668, 0.20978992618896627, 0.1827208211687691, 0.15501089347324684, 0.1336829958401607, 0.10700008470237674]

L21_gaussian_noise_error_cache [0.21531717795688107, 0.23666491365069836, 0.27436125478727574, 0.31734902970104384, 0.36046985319835967, 0.402231854433701, 0.4396957006660534, 0.4746966676061438, 0.5056562789350133, 0.5338345805962107]

L21_gaussian_noise_acc_cache [0.21786372007366483, 0.21206261510128913, 0.20285451197053406, 0.181767955801105, 0.16998158379373848, 0.15248618784530388, 0.14419889502762434, 0.13167587476979742, 0.11777163904235728, 0.114548802946593]

L21_gaussian_noise_nmi_cache [0.30912483167021226, 0.302804431899579, 0.2738515104239363, 0.24861328537152522, 0.23029977524658202, 0.20538241843566252, 0.18077049612021603, 0.16318201686791337, 0.14713074183343336, 0.13326211367134305]




CROP
original_crop_noise_error_cache [0.21496138650202606, 0.22947299686400716, 0.2598800952600282, 0.28724256307183793, 0.317341620344742, 0.3546104089013791, 0.39344238256919545, 0.41447572215665973, 0.4550987191383693, 0.4790700293689382]

original_crop_noise_acc_cache [0.2262430939226519, 0.20423572744014734, 0.1683241252302026, 0.13499079189686924, 0.11473296500920808, 0.0972375690607735, 0.09069981583793739, 0.08701657458563536, 0.08563535911602209, 0.08664825046040517]

original_crop_noise_nmi_cache [0.31192764597287087, 0.27931154133724606, 0.22596451729306738, 0.16167206268446135, 0.1285647111259975, 0.10600893821456533, 0.09046575313290497, 0.09287162547999624, 0.08663974347945741, 0.08723630010869346]

L1_crop_noise_error_cache [0.22933596631939746, 0.23195612521351214, 0.24198852424688785, 0.2660097079387768, 0.30905643424956664, 0.3580261140330797, 0.40131365068026853, 0.42543164156339885, 0.4693998042209092, 0.4936976098564235]

L1_crop_noise_acc_cache [0.2025782688766114, 0.20248618784530387, 0.19116022099447516, 0.17633517495395948, 0.12081031307550645, 0.09769797421731123, 0.09005524861878453, 0.08756906077348066, 0.0867403314917127, 0.08646408839779005]

L1_crop_noise_nmi_cache [0.27058989278414386, 0.26134125882058, 0.25265323826498226, 0.23159550060148232, 0.1383494300503859, 0.09743370875803364, 0.09183821337716344, 0.08599805203217105, 0.08316536313234443, 0.08384454746928553]

L21_crop_noise_error_cache [0.21594314342316334, 0.22903439169191747, 0.25846600190236735, 0.28521679379813614, 0.31712007515507257, 0.3523605334706712, 0.39245198729505393, 0.4124650991574098, 0.45798102765466364, 0.4778599535183271]

L21_crop_noise_acc_cache [0.22891344383057088, 0.2057090239410681, 0.17062615101289133, 0.13802946593001839, 0.10985267034990791, 0.09465930018416205, 0.09465930018416206, 0.08931860036832413, 0.08674033149171272, 0.08738489871086556]

L21_crop_noise_nmi_cache [0.31243380785963354, 0.2725860507644434, 0.23161227784996113, 0.16155749154697982, 0.12421453652535745, 0.09948533539939164, 0.09828644576027828, 0.09486915321716347, 0.09258647133556772, 0.0881937101820753]
